"Title","Age","IMDb","Rotten.Tomatoes","Netflix","Hulu","Prime.Video","Disney."
"Breaking Bad","18+","9.4/10","100/100",1,0,0,0
"Stranger Things","16+","8.7/10","96/100",1,0,0,0
"Attack on Titan","18+","9.0/10","95/100",1,1,0,0
"Better Call Saul","18+","8.8/10","94/100",1,0,0,0
"Dark","16+","8.8/10","93/100",1,0,0,0
"Avatar: The Last Airbender","7+","9.3/10","93/100",1,0,1,0
"Peaky Blinders","18+","8.8/10","93/100",1,0,0,0
"The Walking Dead","18+","8.2/10","93/100",1,0,0,0
"Black Mirror","18+","8.8/10","92/100",1,0,0,0
"The Queen's Gambit","18+","8.6/10","92/100",1,0,0,0
"Mindhunter","18+","8.6/10","90/100",1,0,0,0
"Community","7+","8.5/10","90/100",1,1,1,0
"Narcos","18+","8.8/10","90/100",1,0,0,0
"Shameless","18+","8.5/10","90/100",1,1,1,0
"Money Heist","18+","8.3/10","90/100",1,0,0,0
"Marvel's Daredevil","18+","8.6/10","90/100",1,0,0,0
"Lucifer","16+","8.1/10","90/100",1,0,0,0
"Supernatural","16+","8.4/10","89/100",1,0,0,0
"The Witcher","18+","8.2/10","89/100",1,0,0,0
"Ozark","18+","8.4/10","89/100",1,0,0,0
"The Crown","18+","8.6/10","89/100",1,0,0,0
"Cobra Kai","16+","8.6/10","89/100",1,0,0,0
"The Blacklist","16+","8.0/10","88/100",1,0,0,0
"The Flash","16+","7.6/10","88/100",1,0,0,0
"Outlander","18+","8.4/10","88/100",1,0,0,0
"Fullmetal Alchemist: Brotherhood","16+","9.1/10","88/100",1,1,0,0
"The Good Place","16+","8.2/10","88/100",1,0,0,0
"House of Cards","18+","8.7/10","88/100",1,0,0,0
"Atypical","16+","8.3/10","88/100",1,0,0,0
"Grey's Anatomy","16+","7.5/10","87/100",1,1,0,0
"Arrested Development","16+","8.7/10","87/100",1,1,0,0
"Lupin","18+","7.5/10","87/100",1,0,0,0
"The Umbrella Academy","16+","8.0/10","87/100",1,0,0,0
"Orange Is the New Black","18+","8.0/10","87/100",1,0,0,0
"The Vampire Diaries","16+","7.7/10","86/100",1,0,0,0
"Demon Slayer: Kimetsu no Yaiba","18+","8.7/10","86/100",1,1,0,0
"The Last Dance","16+","9.1/10","86/100",1,0,0,0
"American Horror Story","18+","8.0/10","86/100",1,1,1,0
"Elite","18+","7.5/10","86/100",1,0,0,0
"BoJack Horseman","18+","8.7/10","86/100",1,0,0,0
"Star Trek: The Next Generation","7+","8.6/10","86/100",1,1,1,0
"Broadchurch","18+","8.4/10","86/100",1,0,0,0
"The IT Crowd","16+","8.5/10","86/100",1,0,0,0
"When They See Us","18+","8.9/10","86/100",1,0,0,0
"Love, Death & Robots","18+","8.5/10","86/100",1,0,0,0
"Schitt's Creek","16+","8.5/10","86/100",1,0,0,0
"Marvel's Agents of S.H.I.E.L.D.","16+","7.5/10","86/100",1,0,0,0
"Never Have I Ever","16+","7.9/10","86/100",1,0,0,0
"The 100","16+","7.6/10","86/100",1,0,0,0
"American Crime Story","18+","8.4/10","85/100",1,0,0,0
"The Last Kingdom","18+","8.4/10","85/100",1,0,0,0
"The End of the F***ing World","18+","8.1/10","85/100",1,0,0,0
"New Girl","16+","7.7/10","85/100",1,0,0,0
"Penny Dreadful","18+","8.2/10","85/100",1,0,1,0
"One Piece","7+","8.8/10","85/100",1,1,0,0
"Marvel's The Punisher","18+","8.5/10","85/100",1,0,0,0
"Evil","18+","7.7/10","85/100",1,0,0,0
"YOU","18+","7.7/10","85/100",1,0,0,0
"Sense8","18+","8.3/10","84/100",1,0,0,0
"Making a Murderer","16+","8.6/10","84/100",1,0,0,0
"Unbelievable","18+","8.4/10","84/100",1,0,0,0
"Arrow","16+","7.5/10","84/100",1,0,0,0
"Sex Education","18+","8.3/10","84/100",1,0,0,0
"Marvel's Jessica Jones","18+","7.9/10","84/100",1,0,0,0
"Sweet Tooth","16+","7.9/10","84/100",1,0,0,0
"Good Girls","16+","7.8/10","84/100",1,1,0,0
"Death Note","16+","9.0/10","84/100",1,1,0,0
"Gilmore Girls","16+","8.1/10","84/100",1,0,0,0
"The Legend of Korra","7+","8.4/10","83/100",1,0,0,0
"How to Get Away with Murder","16+","8.1/10","83/100",1,1,0,0
"Master of None","18+","8.3/10","83/100",1,0,0,0
"Chappelle's Show","18+","8.7/10","83/100",1,0,0,0
"One-Punch Man","7+","8.8/10","83/100",1,1,0,0
"Downton Abbey","16+","8.7/10","83/100",1,0,1,0
"Gotham","16+","7.8/10","83/100",1,0,0,0
"Pose","18+","8.6/10","83/100",1,0,0,0
"Bodyguard","18+","8.1/10","83/100",1,0,0,0
"Altered Carbon","18+","8.0/10","83/100",1,0,0,0
"Ash vs Evil Dead","18+","8.4/10","83/100",1,0,0,0
"The Sinner","16+","7.9/10","83/100",1,0,0,0
"Our Planet","all","9.3/10","82/100",1,0,0,0
"Narcos: Mexico","18+","8.4/10","82/100",1,0,0,0
"Shadow and Bone","16+","7.7/10","82/100",1,0,0,0
"Castlevania","18+","8.3/10","82/100",1,0,0,0
"Star Trek","7+","8.3/10","82/100",1,1,1,0
"The Kominsky Method","18+","8.2/10","82/100",1,0,0,0
"Hunter x Hunter","16+","9.0/10","82/100",1,1,0,0
"Dead to Me","18+","8.0/10","82/100",1,0,0,0
"The Haunting of Hill House","18+","8.6/10","82/100",1,0,0,0
"Russian Doll","18+","7.9/10","82/100",1,0,0,0
"Kingdom","18+","8.4/10","82/100",1,1,0,0
"Neon Genesis Evangelion","16+","8.5/10","82/100",1,0,0,0
"Naruto","7+","8.3/10","81/100",1,1,0,0
"NCIS","16+","7.7/10","81/100",1,0,0,0
"Manifest","16+","7.2/10","81/100",1,1,0,0
"Halt and Catch Fire","16+","8.4/10","81/100",1,0,0,0
"Monty Python's Flying Circus","16+","8.8/10","81/100",1,0,0,0
"After Life","18+","8.4/10","81/100",1,0,0,0
"Riverdale","16+","6.8/10","81/100",1,1,0,0
"Big Mouth","18+","7.9/10","81/100",1,0,0,0
"I Think You Should Leave with Tim Robinson","18+","7.8/10","81/100",1,0,0,0
"Derry Girls","16+","8.4/10","81/100",1,0,0,0
"The Promised Neverland","18+","8.5/10","81/100",1,1,0,0
"Lost in Space","7+","7.3/10","80/100",1,1,0,0
"Star Trek: Deep Space Nine","7+","8.0/10","80/100",1,1,1,0
"Jane the Virgin","16+","7.8/10","80/100",1,0,0,0
"Godless","18+","8.3/10","80/100",1,0,0,0
"The OA","18+","7.8/10","80/100",1,0,0,0
"DC's Legends of Tomorrow","16+","6.8/10","80/100",1,0,0,0
"Sacred Games","18+","8.6/10","80/100",1,0,0,0
"iZombie","16+","7.8/10","80/100",1,0,0,0
"Longmire","16+","8.3/10","80/100",1,0,0,0
"Happy Endings","16+","7.7/10","80/100",1,1,0,0
"Into the Badlands","16+","8.0/10","80/100",1,0,0,0
"The Originals","16+","8.2/10","80/100",1,0,0,0
"Anne with an E","all","8.7/10","80/100",1,0,0,0
"Grace and Frankie","18+","8.3/10","80/100",1,0,0,0
"Chilling Adventures of Sabrina","16+","7.5/10","80/100",1,0,0,0
"Queen of the South","16+","8.0/10","79/100",1,0,0,0
"A Series of Unfortunate Events","7+","7.8/10","79/100",1,0,0,0
"Bridgerton","","7.3/10","79/100",1,0,0,0
"Unorthodox","18+","8.0/10","79/100",1,0,0,0
"Stargate SG-1","13+","8.4/10","79/100",1,1,0,0
"Outer Banks","18+","7.6/10","79/100",1,0,0,0
"13 Reasons Why","18+","7.6/10","79/100",1,0,0,0
"Unbreakable Kimmy Schmidt","16+","7.6/10","79/100",1,0,0,0
"Marvel's Luke Cage","18+","7.3/10","79/100",1,0,0,0
"GLOW","18+","8.0/10","79/100",1,0,0,0
"Borgen","18+","8.5/10","79/100",1,0,0,0
"The 4400","7+","7.3/10","79/100",1,0,0,0
"Alias Grace","18+","7.7/10","79/100",1,0,0,0
"All American","16+","7.7/10","79/100",1,0,0,0
"Santa Clarita Diet","18+","7.8/10","79/100",1,0,0,0
"Reign","16+","7.5/10","78/100",1,0,0,0
"Maniac","18+","7.8/10","78/100",1,0,0,0
"Dark Matter","18+","7.5/10","78/100",1,0,1,0
"Star Trek: Voyager","7+","7.8/10","78/100",1,1,1,0
"Tiger King: Murder, Mayhem and Madness","18+","7.6/10","78/100",1,0,0,0
"Call the Midwife","16+","8.4/10","78/100",1,0,0,0
"Queer Eye","16+","8.5/10","78/100",1,0,0,0
"American Vandal","16+","8.2/10","78/100",1,0,0,0
"Wynonna Earp","16+","7.5/10","78/100",1,0,0,0
"Marvel's The Defenders","18+","7.3/10","78/100",1,0,0,0
"HAPPY!","18+","8.2/10","77/100",1,0,0,0
"Haikyu!!","16+","8.7/10","77/100",1,1,0,0
"Colony","16+","7.4/10","77/100",1,0,0,0
"Heartland","7+","8.4/10","77/100",1,0,1,0
"Alone","16+","8.4/10","77/100",1,1,0,0
"Marco Polo","18+","8.0/10","77/100",1,0,1,0
"Wild Wild Country","16+","8.1/10","77/100",1,0,0,0
"The Dragon Prince","7+","8.4/10","77/100",1,0,0,0
"Locke & Key","16+","7.4/10","77/100",1,0,0,0
"Love","18+","7.7/10","77/100",1,0,0,0
"One Day at a Time","7+","8.2/10","77/100",1,0,0,0
"Feel Good","18+","7.5/10","77/100",1,0,0,0
"Fauda","16+","8.2/10","77/100",1,0,0,0
"The Dark Crystal: Age of Resistance","7+","8.4/10","77/100",1,0,0,0
"Top Boy","18+","8.4/10","77/100",1,0,0,0
"I Am Not Okay with This","18+","7.5/10","77/100",1,0,0,0
"Supergirl","16+","6.2/10","77/100",1,0,0,0
"The Shannara Chronicles","16+","7.2/10","77/100",1,0,0,0
"Designated Survivor","7+","7.5/10","77/100",1,0,0,0
"Travelers","16+","8.1/10","77/100",1,0,0,0
"StartUp","18+","7.9/10","77/100",1,0,0,0
"Ripper Street","18+","8.1/10","77/100",1,0,0,0
"Episodes","18+","7.8/10","77/100",1,0,0,0
"Crazy Ex-Girlfriend","16+","7.8/10","76/100",1,0,0,0
"Bloodline","18+","7.9/10","76/100",1,0,0,0
"Black Summer","18+","6.5/10","76/100",1,0,0,0
"The Borgias","18+","7.9/10","76/100",1,0,0,0
"Glee","16+","6.7/10","76/100",1,0,1,0
"The Stranger","18+","7.3/10","76/100",1,0,0,0
"Virgin River","16+","7.4/10","76/100",1,0,0,0
"Lilyhammer","18+","8.0/10","76/100",1,0,0,0
"Dirty John","18+","7.2/10","76/100",1,0,0,0
"TURN: Washington's Spies","16+","8.1/10","76/100",1,0,0,0
"Star Trek: Enterprise","7+","7.5/10","76/100",1,1,1,0
"She-Ra and the Princesses of Power","all","7.9/10","75/100",1,0,0,0
"Merlin","7+","7.9/10","75/100",1,1,1,0
"The Magicians","16+","7.6/10","75/100",1,0,0,0
"Ginny & Georgia","16+","7.5/10","75/100",1,0,0,0
"The Spy","18+","7.9/10","75/100",1,0,0,0
"On My Block","16+","8.0/10","75/100",1,0,0,0
"The Movies That Made Us","18+","7.8/10","75/100",1,0,0,0
"Chef's Table","all","8.5/10","75/100",1,0,0,0
"Biohackers","18+","6.8/10","75/100",1,0,0,0
"The Seven Deadly Sins","16+","8.0/10","75/100",1,0,0,0
"The Keepers","16+","8.1/10","75/100",1,0,0,0
"F is for Family","18+","8.0/10","74/100",1,0,0,0
"The Midnight Gospel","18+","8.2/10","74/100",1,0,0,0
"Ragnarok","18+","7.5/10","74/100",1,0,1,0
"Legacies","16+","7.4/10","74/100",1,0,0,0
"The Order","18+","6.8/10","74/100",1,0,0,0
"Disenchantment","16+","7.2/10","74/100",1,0,0,0
"Dead Set","18+","7.6/10","74/100",1,0,0,0
"Dirty Money","16+","8.1/10","74/100",1,0,0,0
"The Staircase","16+","7.9/10","74/100",1,0,0,0
"Soul Eater","16+","7.8/10","74/100",1,1,0,0
"Into the Night","18+","7.1/10","74/100",1,0,0,0
"The Haunting of Bly Manor","","7.4/10","74/100",1,0,0,0
"Julie and the Phantoms","7+","8.5/10","74/100",1,0,0,0
"Leyla ile Mecnun","7+","9.1/10","74/100",1,0,0,0
"Living with Yourself","18+","7.2/10","74/100",1,0,0,0
"Young Royals","","8.6/10","74/100",1,0,0,0
"Hilda","7+","8.6/10","74/100",1,0,0,0
"The Mechanism","18+","8.4/10","74/100",1,0,0,0
"ERASED","16+","8.5/10","74/100",1,1,0,0
"Formula 1: Drive to Survive","16+","8.6/10","74/100",1,0,0,0
"Don't F**k with Cats: Hunting an Internet Killer","18+","8.0/10","74/100",1,0,0,0
"Kim's Convenience","16+","8.2/10","73/100",1,0,0,0
"The Society","18+","7.1/10","73/100",1,0,0,0
"Imposters","16+","7.8/10","73/100",1,0,0,0
"Frequency","7+","7.5/10","73/100",1,0,1,0
"Wentworth","18+","8.6/10","73/100",1,0,0,0
"Marvel's Iron Fist","18+","6.5/10","73/100",1,0,0,0
"Bleach","18+","8.1/10","73/100",1,1,0,0
"Quantico","16+","6.7/10","73/100",1,0,0,0
"Shooter","16+","7.5/10","73/100",1,0,0,0
"Pokémon","7+","7.5/10","73/100",1,1,1,0
"Hollywood","18+","7.5/10","73/100",1,0,0,0
"Madam Secretary","16+","7.6/10","73/100",1,0,0,0
"Last Tango in Halifax","16+","8.3/10","73/100",1,0,0,0
"Safe","18+","7.3/10","73/100",1,1,0,0
"Resurrection: Ertugrul","16+","8.0/10","73/100",1,0,0,0
"Versailles","18+","7.9/10","73/100",1,0,0,0
"Sex/Life","18+","5.4/10","73/100",1,0,0,0
"Fullmetal Alchemist","16+","8.5/10","73/100",1,0,0,0
"Marianne","18+","7.5/10","73/100",1,0,0,0
"Five Came Back","16+","8.3/10","73/100",1,0,0,0
"Miraculous: Tales of Ladybug & Cat Noir","7+","7.7/10","73/100",1,0,0,0
"Abstract: The Art of Design","16+","8.4/10","73/100",1,0,0,0
"Teenage Bounty Hunters","18+","7.7/10","72/100",1,0,0,0
"Documentary Now!","18+","8.1/10","72/100",1,0,0,0
"Special","18+","7.6/10","72/100",1,0,0,0
"JoJo's Bizarre Adventure","18+","8.4/10","72/100",1,1,0,0
"Manhunt","16+","8.1/10","72/100",1,0,0,0
"Your Lie in April","7+","8.6/10","72/100",1,1,0,0
"Code Geass: Lelouch of the Rebellion","18+","8.7/10","72/100",1,0,0,0
"Middleditch & Schwartz","18+","8.6/10","72/100",1,0,0,0
"Zoo","16+","6.7/10","72/100",1,0,0,0
"Jupiters Legacy","18+","6.7/10","72/100",1,0,0,0
"Ratched","18+","7.3/10","72/100",1,0,0,0
"Babylon Berlin","18+","8.4/10","72/100",1,0,0,0
"Better Than Us","","7.4/10","72/100",1,0,0,0
"Everything Sucks!","16+","7.5/10","72/100",1,0,0,0
"Evil Genius","18+","7.5/10","72/100",1,0,0,0
"Doctor Foster","16+","7.7/10","72/100",1,0,0,0
"Marcella","18+","7.4/10","72/100",1,0,0,0
"Survivor","7+","7.2/10","72/100",1,1,1,0
"Derek","7+","8.0/10","72/100",1,0,0,0
"Flowers","","8.2/10","72/100",1,0,0,0
"3%","18+","7.4/10","72/100",1,0,0,0
"Tuca & Bertie","18+","7.4/10","72/100",1,0,0,0
"Kuroko's Basketball","","8.3/10","72/100",1,0,0,0
"Parasyte -the maxim-","18+","8.3/10","72/100",1,1,0,0
"Last Chance U","16+","8.4/10","71/100",1,0,0,0
"Trailer Park Boys","18+","8.5/10","71/100",1,0,0,0
"Black Lightning","16+","6.1/10","71/100",1,0,0,0
"Chicago Med","16+","7.6/10","71/100",1,1,0,0
"How to Sell Drugs Online (Fast)","18+","7.9/10","71/100",1,0,0,0
"Secret City","18+","7.4/10","71/100",1,0,0,0
"Dynasty","16+","7.3/10","71/100",1,0,0,0
"Dracula","18+","6.8/10","71/100",1,0,0,0
"Delhi Crime","","8.5/10","71/100",1,0,0,0
"Space Force","18+","6.7/10","71/100",1,0,0,0
"Pretend It's a City","16+","8.1/10","71/100",1,0,0,0
"Masters of the Universe: Revelation","7+","4.9/10","71/100",1,0,0,0
"iCarly","all","6.7/10","71/100",1,0,0,0
"Who Killed Sara?","18+","6.4/10","71/100",1,0,0,0
"Sword Art Online","18+","7.6/10","71/100",1,1,0,0
"Paranormal","7+","8.5/10","71/100",1,0,0,0
"Frontier","18+","7.2/10","71/100",1,0,0,0
"The Politician","16+","7.5/10","71/100",1,0,0,0
"Raising Dion","7+","7.2/10","71/100",1,0,0,0
"Food Wars! Shokugeki no Soma","18+","8.2/10","71/100",1,1,0,0
"Crash Landing on You","16+","8.7/10","71/100",1,0,0,0
"Seven Seconds","18+","7.7/10","71/100",1,0,0,0
"The Great British Bake Off","7+","8.5/10","70/100",1,0,0,0
"Wizards: Tales of Arcadia","7+","8.2/10","70/100",1,0,0,0
"Conversations with a Killer: The Ted Bundy Tapes","18+","7.8/10","70/100",1,0,0,0
"Lenox Hill","","8.7/10","70/100",1,0,0,0
"Fate: The Winx Saga","18+","6.9/10","70/100",1,0,0,0
"The Circle","18+","7.3/10","70/100",1,0,1,0
"Cheer","16+","8.1/10","70/100",1,0,0,0
"Hemlock Grove","18+","7.1/10","70/100",1,0,0,0
"Transformers: War for Cybertron: Siege","16+","7.4/10","70/100",1,0,0,0
"Explained","16+","8.0/10","70/100",1,0,0,0
"Messiah","18+","7.6/10","70/100",1,0,0,0
"Sky Rojo","18+","6.5/10","70/100",1,0,0,0
"Bonding","18+","7.2/10","70/100",1,0,0,0
"I'm Sorry","7+","8.0/10","70/100",1,0,0,0
"Katla","18+","7.1/10","70/100",1,0,0,0
"It's Okay to Not Be Okay","16+","8.8/10","70/100",1,0,0,0
"Forensic Files","16+","8.8/10","70/100",1,1,1,0
"Workin' Moms","18+","7.6/10","70/100",1,0,0,0
"The Toys That Made Us","16+","8.1/10","70/100",1,0,0,0
"The Devil Next Door","18+","7.6/10","70/100",1,0,0,0
"Kipo and the Age of Wonderbeasts","7+","8.4/10","70/100",1,0,0,0
"Roswell, New Mexico","16+","6.2/10","70/100",1,0,0,0
"Night Stalker: The Hunt For a Serial Killer","18+","7.5/10","70/100",1,0,0,0
"Glitch","16+","7.3/10","70/100",1,0,0,0
"Great Pretender","18+","8.0/10","69/100",1,0,0,0
"InuYasha","16+","7.9/10","69/100",1,1,0,0
"In the Dark","16+","7.5/10","69/100",1,0,0,0
"GHOUL","18+","7.1/10","69/100",1,0,0,0
"Nailed It!","7+","7.4/10","69/100",1,0,0,0
"Voltron: Legendary Defender","7+","8.1/10","69/100",1,0,0,0
"Trollhunters: Tales of Arcadia","7+","8.4/10","69/100",1,0,0,0
"Sweet Magnolias","16+","7.4/10","69/100",1,0,0,0
"Medici: Masters of Florence","7+","7.9/10","69/100",1,0,0,0
"The Innocent","","7.9/10","69/100",1,0,0,0
"Aggretsuko","16+","8.1/10","69/100",1,0,0,0
"Jurassic World: Camp Cretaceous","7+","7.5/10","69/100",1,0,0,0
"Rake","16+","8.5/10","69/100",1,1,1,0
"The Serpent","","7.6/10","69/100",1,0,0,0
"The Gift","18+","7.2/10","69/100",1,1,0,0
"Violet Evergarden","16+","8.5/10","69/100",1,0,0,0
"3Below: Tales of Arcadia","7+","7.7/10","69/100",1,0,0,0
"Jeffrey Epstein: Filthy Rich","18+","7.1/10","69/100",1,0,0,0
"Dawson's Creek","7+","6.6/10","69/100",1,1,0,0
"Private Practice","16+","6.7/10","69/100",1,1,0,0
"Beauty and the Beast","7+","7.0/10","69/100",1,0,0,1
"Daybreak","18+","6.7/10","69/100",1,0,0,0
"Easy","18+","6.9/10","69/100",1,0,0,0
"Behind Her Eyes","18+","7.2/10","68/100",1,0,0,0
"Collateral","18+","6.8/10","68/100",1,0,0,0
"Knightfall","16+","6.8/10","68/100",1,0,0,0
"The Confession Killer","16+","7.4/10","68/100",1,0,0,0
"Sophie: A Murder In West Cork","18+","6.9/10","68/100",1,0,0,0
"Call My Agent!","16+","8.3/10","68/100",1,0,0,0
"My Little Pony: Friendship Is Magic","7+","7.6/10","68/100",1,1,0,0
"Leah Remini: Scientology and the Aftermath","16+","9.0/10","68/100",1,1,0,0
"Containment","16+","7.2/10","68/100",1,0,0,0
"Z Nation","16+","6.7/10","68/100",1,0,0,0
"Emily in Paris","18+","7.0/10","68/100",1,0,0,0
"Victorious","7+","6.9/10","68/100",1,0,0,0
"Scream: The TV Series","16+","7.1/10","68/100",1,0,0,0
"Akame ga Kill!","18+","7.8/10","68/100",1,1,0,0
"Warrior Nun","18+","6.9/10","68/100",1,0,0,0
"Bad Blood","18+","7.5/10","68/100",1,0,0,0
"Young & Hungry","16+","7.4/10","68/100",1,0,0,0
"Caliphate","18+","8.2/10","68/100",1,0,0,0
"'Allo 'Allo!","","8.3/10","68/100",1,0,0,0
"Good Witch","7+","7.3/10","68/100",1,0,0,0
"Gilmore Girls: A Year in the Life","16+","7.6/10","68/100",1,0,0,0
"Aquarius","16+","7.1/10","68/100",1,0,0,0
"Firefly Lane","18+","7.4/10","67/100",1,0,0,0
"White Gold","18+","7.4/10","67/100",1,0,0,0
"Hyperdrive","7+","8.1/10","67/100",1,0,1,0
"Reply 1988","","9.1/10","67/100",1,0,0,0
"Ninjago: Masters of Spinjitzu","all","7.2/10","67/100",1,0,1,0
"Spotless","","7.8/10","67/100",1,0,0,0
"Devilman: Crybaby","","7.6/10","67/100",1,0,0,0
"BEASTARS","18+","7.8/10","67/100",1,0,0,0
"Kill la Kill","18+","7.9/10","67/100",1,0,0,0
"Down to Earth with Zac Efron","7+","8.1/10","67/100",1,0,0,0
"Ancient Aliens","7+","7.2/10","67/100",1,1,1,0
"Slasher","18+","6.7/10","67/100",1,0,0,0
"Ray","","7.3/10","67/100",1,0,0,0
"Time: The Kalief Browder Story","16+","8.5/10","67/100",1,0,0,0
"Away","16+","6.6/10","67/100",1,0,0,0
"No Tomorrow","7+","7.3/10","67/100",1,0,0,0
"Locked Up","18+","8.2/10","67/100",1,0,0,0
"The Frankenstein Chronicles","16+","7.3/10","67/100",1,0,0,0
"The Ranch","16+","7.5/10","67/100",1,0,0,0
"Cursed","18+","5.9/10","67/100",1,0,0,0
"Wu Assassins","18+","6.5/10","67/100",1,0,0,0
"Mr. Sunshine","18+","8.8/10","67/100",1,0,0,0
"The Unicorn","7+","7.2/10","67/100",1,1,0,0
"Anohana: The Flower We Saw That Day","16+","8.2/10","67/100",1,0,0,0
"Alice in Borderland","","7.7/10","67/100",1,0,0,0
"The Challenge","16+","7.7/10","67/100",1,1,1,0
"Gypsy","18+","6.8/10","67/100",1,0,0,0
"Fuller House","7+","6.7/10","67/100",1,0,0,0
"How to Become a Tyrant","","7.4/10","67/100",1,0,0,0
"Killer Inside: The Mind of Aaron Hernandez","18+","7.4/10","67/100",1,0,0,0
"RESIDENT EVIL: Infinite Darkness","18+","5.8/10","67/100",1,0,0,0
"1983","18+","6.8/10","67/100",1,0,0,0
"Wet Hot American Summer: First Day of Camp","16+","7.4/10","67/100",1,0,0,0
"The Baker and the Beauty","16+","7.4/10","67/100",1,0,1,0
"Spinning Out","18+","7.6/10","67/100",1,0,0,0
"Trinkets","18+","7.1/10","67/100",1,0,0,0
"Insatiable","18+","6.5/10","67/100",1,0,0,0
"The Chalet","18+","7.0/10","67/100",1,0,0,0
"We Bare Bears","7+","7.9/10","67/100",1,1,0,0
"Gurren Lagann","16+","8.3/10","66/100",1,0,0,0
"Friends from College","18+","6.9/10","66/100",1,0,0,0
"Jericho","16+","7.3/10","66/100",1,0,0,0
"Tidelands","18+","7.0/10","66/100",1,0,0,0
"Dear White People","18+","6.2/10","66/100",1,1,0,0
"Dare Me","18+","6.7/10","66/100",1,0,0,0
"Ouran High School Host Club","16+","8.2/10","66/100",1,1,0,0
"Scooby-Doo! Mystery Incorporated","7+","8.0/10","66/100",1,0,0,0
"The Untamed","16+","9.0/10","66/100",1,0,0,0
"Stranger","18+","8.6/10","66/100",1,0,0,0
"El Chapo","18+","7.8/10","66/100",1,0,0,0
"Great News","7+","7.0/10","66/100",1,0,0,0
"The Get Down","16+","8.3/10","66/100",1,0,0,0
"The Naked Director","18+","7.7/10","66/100",1,0,0,0
"Rise of Empires: Ottoman","18+","7.9/10","66/100",1,0,0,0
"Club de Cuervos","18+","8.2/10","66/100",1,0,0,0
"My Mister","","9.1/10","66/100",1,0,0,0
"Toradora!","16+","8.0/10","66/100",1,0,1,0
"The Baby-Sitters Club","7+","7.4/10","66/100",1,0,1,0
"Carole & Tuesday","7+","7.9/10","66/100",1,0,0,0
"Van Helsing","16+","6.2/10","66/100",1,0,0,0
"Vincenzo","","8.5/10","66/100",1,0,0,0
"The Night Shift","16+","7.4/10","66/100",1,0,0,0
"Pablo Escobar, The Drug Lord","18+","8.5/10","66/100",1,0,0,0
"No Game No Life","16+","7.8/10","66/100",1,0,0,0
"The King: Eternal Monarch","16+","8.3/10","66/100",1,0,0,0
"Eden","7+","6.7/10","65/100",1,0,1,0
"Stateless","16+","7.6/10","65/100",1,0,0,0
"High Score","16+","7.4/10","65/100",1,0,0,0
"Hospital Playlist","","8.7/10","65/100",1,0,0,0
"Dash & Lily","7+","8.0/10","65/100",1,0,0,0
"The Confession Tapes","16+","7.5/10","65/100",1,0,0,0
"Black Butler","18+","7.8/10","65/100",1,1,0,0
"The Rain","18+","6.3/10","65/100",1,0,0,0
"Love Is Blind","18+","6.1/10","65/100",1,0,1,0
"Trial by Media","16+","7.2/10","65/100",1,0,0,0
"Wormwood","16+","7.0/10","65/100",1,0,0,0
"Fear City: New York vs The Mafia","18+","7.1/10","65/100",1,0,0,0
"Sorjonen","18+","7.6/10","65/100",1,0,0,0
"Crashing","","7.7/10","65/100",1,0,0,0
"Forged in Fire","7+","8.4/10","65/100",1,1,1,0
"Baby","18+","6.8/10","65/100",1,0,0,0
"Sweet Home","","7.4/10","65/100",1,0,0,0
"The Disastrous Life of Saiki K.","16+","8.3/10","65/100",1,0,0,0
"The Innocence Files","18+","8.0/10","65/100",1,0,0,0
"BNA","16+","7.2/10","65/100",1,0,0,0
"The Mist","16+","5.4/10","65/100",1,0,0,0
"Halston","18+","7.5/10","65/100",1,0,1,0
"Shaun the Sheep","all","8.2/10","65/100",1,0,1,0
"The Universe","16+","8.7/10","65/100",1,0,1,0
"Self Made: Inspired by the Life of Madam C.J. Walker","18+","7.3/10","65/100",1,0,0,0
"Shtisel","16+","8.6/10","65/100",1,0,0,0
"The Boss Baby: Back in Business","7+","6.5/10","65/100",1,0,0,0
"Puella Magi Madoka Magica","16+","8.3/10","65/100",1,1,0,0
"Masameer County","","8.3/10","65/100",1,0,0,0
"Sinatra: All or Nothing at All","7+","8.0/10","65/100",1,0,0,0
"Comedians in Cars Getting Coffee","16+","8.1/10","65/100",1,0,0,0
"Senora Acero","16+","7.1/10","65/100",1,1,0,0
"Dark Tourist","18+","7.5/10","65/100",1,0,0,0
"Criminal: UK","18+","7.6/10","65/100",1,0,0,0
"Heist","","6.8/10","65/100",1,0,0,0
"The Bureau of Magical Things","7+","6.7/10","65/100",1,0,0,0
"Cleverman","16+","6.4/10","65/100",1,0,0,0
"The Innocent Man","18+","7.3/10","65/100",1,0,0,0
"Norsemen","18+","7.8/10","65/100",1,0,0,0
"Word of Honor","","9.1/10","65/100",1,0,0,0
"Pawn Stars","7+","7.2/10","65/100",1,1,1,0
"Inside Bill's Brain: Decoding Bill Gates","16+","7.9/10","65/100",1,0,0,0
"Damnation","18+","7.7/10","65/100",1,0,0,0
"From Dusk Till Dawn: The Series","18+","6.9/10","64/100",1,0,0,0
"Lovesick","18+","8.1/10","64/100",1,0,0,0
"Flint Town","18+","7.9/10","64/100",1,0,0,0
"Watership Down","7+","7.2/10","64/100",1,0,0,0
"Undercover","18+","7.8/10","64/100",1,0,1,0
"Rita","16+","8.1/10","64/100",1,0,0,0
"Dorohedoro","18+","8.2/10","64/100",1,0,0,0
